Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
layers_3_4_5_6_7_alpha_1_0,1.6851274976415052,7.571428571428571,0.8872976637188922,0.9186706262307212,0.45175689874992336,1.3180263441998294,0.621138115852722,2.5,0.5729377275710908,2.5,0.2776744520042863
layers_3_4_5_6_7_alpha_20_0,1.8010261196700539,13.176470588235293,0.6745500817934681,0.5514807966687956,0.07832248349279564,1.639555609398187,0.5952370403288813,2.8823529411764706,0.8859432860049212,3.0,0.421228462754208
layers_3_4_5_6_7_alpha_2_5,2.406529751760865,15.571428571428571,0.8558349913957409,0.7489325976431579,0.24923322772454112,1.4723289078861266,0.9475510460467228,3.2142857142857144,1.0442397369292507,3.4285714285714284,0.47147803872190097
layers_3_4_5_6_7_alpha_5_0,2.375413594676419,17.892857142857142,0.9129662035964401,0.5616186302232733,0.09306904700625938,1.6300105942846421,0.48181904653960633,3.0,1.1965029567100918,3.5,0.6201128333664824
layers_3_4_5_6_7_alpha_7_0,2.3652843865722697,18.0,0.922126549397505,0.5329090744024333,0.057459325573581625,1.66061998928225,0.45621713685529314,2.9285714285714284,1.1912341769863772,3.5,0.6194521702312203
layers_4_5_6_alpha_0_5,1.4473054126668665,6.107142857142857,0.905212432220946,0.9123260148786875,0.5017710304282276,1.2955806752305583,0.5916444211890807,2.4642857142857144,0.503699160780628,2.25,0.24367047290437685
layers_4_5_6_alpha_10_0,2.253359749508329,17.1,0.868119154981545,0.5038146727604398,0.07652884601788128,1.6480809709078443,0.48274382125222653,2.75,1.113660351464522,3.35,0.5692571583552376
layers_4_5_6_alpha_1_0,1.634897398560979,7.178571428571429,0.8389232220545099,0.9193426735079457,0.4634046869160322,1.311059326503612,0.6927876234496482,2.5714285714285716,0.599188418676494,2.5714285714285716,0.28273363955094094
layers_4_5_6_alpha_20_0,1.7257312730390109,13.333333333333334,0.6428374833590222,0.5829902540421035,0.09726426446739972,1.6268480468661943,0.4869111883010352,2.5,0.8364299592436448,2.888888888888889,0.40335494088673984
layers_4_5_6_alpha_2_5,2.436676653773838,15.928571428571429,0.8654563257442115,0.7520219293987357,0.24886502382379078,1.4772746827653231,0.9170938187043084,3.25,1.07027401910466,3.4642857142857144,0.4910531802400003
layers_4_5_6_alpha_5_0,2.3722725671476774,17.75,0.9061818438300088,0.5447052568973506,0.06968065665472228,1.6399814402996389,0.4560881897050148,2.9285714285714284,1.18834953095111,3.4642857142857144,0.6207859506108242
layers_4_5_6_alpha_7_0,2.3243589865910286,17.607142857142858,0.9174356762018606,0.5426198610788149,0.07196005191612405,1.650350168238456,0.4634636845016939,2.857142857142857,1.1799009035830597,3.4642857142857144,0.6151514186894291
layers_5_6_7_alpha_0_5,1.3896700356163785,5.75,0.9227629033273541,0.9237776138013614,0.5122739166528184,1.2900266008773327,0.5441958929040479,2.25,0.47037725822376475,2.0,0.23792738168764432
layers_5_6_7_alpha_10_0,2.396758695090729,18.35,0.8990713225584415,0.5279257444080392,0.06929733558059593,1.659035274952009,0.4396249036013879,2.7,1.1602841157097077,3.45,0.6018051872491517
layers_5_6_7_alpha_1_0,1.656137779052342,7.107142857142857,0.8755022821605875,0.9093226970690108,0.4458350146937385,1.3268025367259129,0.6416285750569275,2.642857142857143,0.5319791691345827,2.392857142857143,0.2446427418988377
layers_5_6_7_alpha_20_0,1.8454214635666144,14.0,0.6384730413129096,0.5380211153282126,0.07982521474715173,1.6526306759022156,0.5120921004556951,2.764705882352941,0.8438907200161184,2.764705882352941,0.41649407081049294
layers_5_6_7_alpha_2_5,2.432190399833218,15.75,0.8795400375040304,0.763429307959151,0.25723765411468613,1.472478936356938,0.9231192180032639,3.25,1.0456634193791106,3.4642857142857144,0.48161486007735077
layers_5_6_7_alpha_5_0,2.3562242348140496,18.0,0.9081372855876789,0.5599693243015048,0.09016236419256636,1.641411973541341,0.4744127135812611,2.857142857142857,1.1732166111719338,3.4285714285714284,0.6116611457329392
layers_5_6_7_alpha_7_0,2.348679106244551,17.25,0.9285860945650924,0.52525947992641,0.07528196857165992,1.6431259953337083,0.43750360143243716,2.857142857142857,1.2025314860186302,3.5,0.6296255071783106
none,1.5870918803811953,6.857142857142857,0.8748397350806886,0.9253226888341716,0.47854701621917534,1.296526851373257,0.5959954046496809,2.4285714285714284,0.5212487393697474,2.3214285714285716,0.25413558845077217
